Gene Symbol,logFC,P.Value
SYNPO2,-4.443670195,0.000456941910505267
C7,-4.34108747,1.12308396062475e-05
DES,-4.294392676,0.00146202189296996
DPT,-4.211855903,0.000276548859056979
ABI3BP,-3.81709625,2.4679407571985e-08
CHRDL1,-3.726344016,0.000290256219114067
MAB21L2,-3.691199922,0.00266480420931717
PLN,-3.649549878,0.00414129574739773
CASQ2,-3.619811161,0.00886025790025738
MYH11,-3.595629269,0.00125679027961726
XIST,-3.502361509,0.0328554681338163
ANGPTL1,-3.474682707,0.000570281728444926
ADH1B,-3.446467483,2.3260430986708e-05
PRELP,-3.439698165,0.000335286057552072
BMP3,-3.212596443,0.000349074943505868
SPARCL1,-3.151758899,0.000246222099200526
TMIGD1,-3.139506802,0.0111650511675186
MAMDC2,-3.090870921,5.3588109132743e-05
SCN7A,-3.053724791,0.00251877432032885
CNN1,-3.00155244,0.011889539445737
SYNM,-2.932178848,0.00739444050175529
MFAP5,-2.902245423,0.00396443177787304
OGN,-2.864591398,0.00113644761405588
LYVE1,-2.846887805,0.000514630368054531
ANK2,-2.844851415,0.000305290494672295
LMOD1,-2.844399442,0.00650125200889148
VIP,-2.798921298,0.00155459705663708
FAM129A,-2.782888214,0.00281457051633926
ABCA8,-2.781352516,0.000102116567528452
ACTG2,-2.745988774,0.00895693627819387
BVES,-2.684011932,0.0106629990779079
PGM5,-2.642597815,0.0106992595362827
FABP4,-2.617318912,0.0217236257508658
DMD,-2.61298282,0.00332175900164656
MGP,-2.571596777,0.000790652416281722
JAM2,-2.545781578,5.35188469552466e-05
PGM5-AS1,-2.536952449,0.0169882285883746
CCL21,-2.534623359,0.00399999702928264
LOC100127983,-2.532561414,0.00711690666356493
TNXB,-2.498335023,0.000105108549457717
KCNMA1,-2.495274648,0.0023759410990348
DDR2,-2.483680338,0.00158416913218132
CFL2,-2.479057312,0.00553317629507879
CLCA4,-2.476726599,0.0904645620357447
FOXP2,-2.436929008,0.00763501921293447
ADAMTS9-AS1,-2.418742435,0.0285006620168096
GNAO1,-2.395930279,0.00392558893526602
PTGIS,-2.395130857,0.00776848128037254
CCL2,-2.377144254,0.000397845915391054
RBPMS2,-2.376809066,0.0103322209535611
TNS1,-2.362375729,0.0063907234342759
HSPB8,-2.36053125,0.00543168508299609
SRPX,-2.355040791,0.00322437435953547
FHL1,-2.351881494,0.000525803432295711
ABCA6,-2.348463501,0.000101260393354383
TMEM47,-2.339599156,0.00218874586832876
ADAMTSL3,-2.333307509,0.00403337846081845
FGF7,-2.328302094,0.00357849672458759
CCDC80,-2.318567995,0.00243896646017203
RGS2,-2.31819937,0.00356739515881462
SNORD116-27,-2.310549723,0.000371588393398786
FLNC,-2.308022336,0.0201093460184487
MYOCD,-2.28915972,0.0221101701726947
FGL2,-2.286217146,0.0039039906721143
GUCA2A,-2.285078094,0.0323796934115251
BAG2,-2.267798294,0.0180526055057367
CLMP,-2.267495101,0.00265192425392578
NEXN,-2.231621466,0.0152073282281083
CXCL12,-2.215779153,1.92739979032811e-06
AOC3,-2.214106236,0.00683250198162717
NBEA,-2.184995905,0.00253159772474379
TAGLN,-2.183376082,0.0121433129549261
ABCA9,-2.181703075,0.00210969550449214
MYL9,-2.174053048,0.00751061846858418
NOVA1,-2.173864383,4.19913766399325e-05
SGCE,-2.163741095,0.00193951170972687
MEIS2,-2.147570915,0.00439544442058221
C3,-2.146934183,0.00672515197577056
CACNA2D1,-2.134524152,0.0079148518944702
FILIP1,-2.133997393,0.0188133120152772
EPHA7,-2.127720713,0.00559245079540481
PDE5A,-2.124486087,0.0028287651810926
SNORD116-26,-2.123018512,0.000432401927477483
ATP2B4,-2.122355341,0.00898013744751586
MFAP4,-2.118954201,8.6720928428468e-06
PDZRN4,-2.117916985,0.0217931135688932
DPYD,-2.096474172,1.35284314441797e-05
PPP1R3C,-2.081568628,0.014151966341422
HSPB6,-2.072104747,0.0095246371671284
MPDZ,-2.069868923,0.00851498494612397
SNORD64,-2.068818289,0.000145434293108296
TMOD2,-2.0675287,0.000338533797937528
SDPR,-2.063012517,0.0166797799302996
DCN,-2.060117804,0.00155707647069831
TNXB,-2.057986123,0.00032421203499445
SNORD116-2,-2.049846819,0.000138628353018411
ZEB1,-2.04400657,0.00476446780090003
SNORD116-2,-2.039296942,0.000131292084790209
SNORD116-1,-2.037717231,0.000282260288256419
MIR145,-2.036902169,0.00491169141023601
RNF150,-2.035393839,0.00165243450418919
FERMT2,-2.034937071,0.0206456935740698
SNORD116-8,-2.030602712,0.000130109980550961
SLIT2,-2.022322891,0.00274562652223384
SEPP1,-2.021188699,0.00179546251593833
PTGS1,-2.016771382,0.0112648914186096
SNORD116-5,-2.012618501,0.000190376513422735
SNORD116-7,-2.012618501,0.000190376513422735
GUCY1A3,-2.011947751,0.00450559519440527
SVEP1,-2.01021623,0.00365062042094535
SFRP2,-2.007886628,0.0255599203214009
NEGR1,-2.007659147,0.00806805371936804
FLNA,-2.001124043,0.00916016856631609
PTCHD1,-1.996390164,0.0258346962865921
LIFR,-1.99594953,6.86825610292107e-05
TACR2,-1.988291429,0.02453666303044
HAND1,-1.982435303,0.0238084157543057
LOC100507516,-1.981225754,0.0074231885979941
MAOB,-1.977978729,0.00402269021226309
INA,-1.975786753,0.00467586334085426
ADAMTS1,-1.96594502,0.00370439043121051
ANO5,-1.964803358,0.000289200111135207
CLU,-1.963808988,0.000497645221727542
FXYD1,-1.962470572,0.00207297989574445
TOX,-1.949337018,0.000151532446453205
SNORD116-25,-1.946092357,0.00103495553052746
TSPYL5,-1.94429995,0.00360870670417323
MYOM1,-1.942954237,0.00937080565430675
PDLIM3,-1.938054899,0.00443332971528229
SNORD116-3,-1.935055231,0.00010679130635946
SNORD116-9,-1.935055231,0.00010679130635946
SLC4A4,-1.933771894,0.0619404333129522
SETBP1,-1.932653316,0.000109082600550038
CAP2,-1.928691785,0.0204383757770362
SLC9A9,-1.923066353,6.99078455640102e-06
SSBP2,-1.919629502,3.92476280399672e-05
CPED1,-1.905742923,0.00939418863197717
COL14A1,-1.905331657,0.00063299755737606
ANPEP,-1.904649936,0.0250729593125618
FBLN5,-1.893572288,0.00485942613250189
PRKCB,-1.893526643,0.00108137572061039
GUCA2B,-1.889973634,0.0218785937391894
SLIT3,-1.884693935,0.000676218136489989
ASPN,-1.879909748,0.0397887765019521
CES1,-1.879529963,0.0063257711611517
SLC6A19,-1.876341295,0.00624456883948336
TNXB,-1.876218616,0.00031192651191456
FBXO32,-1.872201184,0.0286264893516144
KLF12,-1.871744161,0.000243175615032539
PRKAA2,-1.866062589,0.103524764665407
TNXB,-1.85453664,0.000316306445335142
SNORD115-11,-1.854328983,0.000995002499833686
SNORD115-43,-1.854328983,0.000995002499833686
SNORD115-43,-1.854328983,0.000995002499833686
SNORD115-43,-1.854328983,0.000995002499833686
